Código,Cliente,Fecha,Concepto,Método de pago,Cantidad,Banco,Número de cheque,Observaciones
20260327164837,1882 - Superdental,2026-03-27,"",Efectivo,270.0,"","",""
20260327130534,2112 - Clinica Dental Tijuana,2026-03-27,Factura 087958211825-506565,Efectivo,12.18,"","",""
20260327130501,2112 - Clinica Dental Tijuana,2026-03-27,"",Transferencia Bancaria,2435.4,"","",""
20260324190617,800 - Zenzao Smile Studio,2026-03-24,Factura 087958211825-506562,Transferencia Bancaria,75.0,"","",""
20260321131527,8832 - Orion Dental,2026-03-21,Factura 087958211825-506563,Efectivo,90.0,"","",""
20260321092456,2112 - Clinica Dental Tijuana,2026-03-21,"",Transferencia Bancaria,226.22,"","",""
20260321092442,4505 - Clinica Dental Integral,2026-03-21,Factura 087958211825-506554,Transferencia Bancaria,172.8,"","",""
20260321092435,4505 - Clinica Dental Integral,2026-03-21,Factura 087958211825-506553,Transferencia Bancaria,81.0,"","",""
20260321092418,6901 - Dental Studio,2026-03-21,Factura 087958211825-506550,Transferencia Bancaria,81.0,"","",""
20260314180610,6152 - Maxilo Dental,2026-03-14,Factura 087958211825-506546,Efectivo,90.0,"","",""
20260314180542,2795 - Clinica Dental Coronel,2026-03-14,Factura 087958211825-506552,Transferencia Bancaria,1620.0,"","",""
20260313170350,7399 - Dental Angel Smile,2026-03-13,Factura 087958211825-506538,Efectivo,85.0,"","",""
20260313170233,4505 - Clinica Dental Integral,2026-03-13,"",Transferencia Bancaria,648.0,"","",""
20260313165958,2112 - Clinica Dental Tijuana,2026-03-13,"",Transferencia Bancaria,982.8,"","",""
20260312170711,2795 - Clinica Dental Coronel,2026-03-12,Factura 087958211825-506470,Efectivo,100.0,"","",""
20260312170039,2543 - Real Dental Tijuana,2026-03-12,Factura 087958211825-506532,Efectivo,75.0,"","",""
20260312165959,8832 - Orion Dental,2026-03-12,Factura 087958211825-506518,Transferencia Bancaria,81.0,"","",""
20260307122831,2112 - Clinica Dental Tijuana,2026-03-07,"",Transferencia Bancaria,405.0,"","",""
20260303153643,7399 - Dental Angel Smile,2026-03-03,Factura 087958211825-506533,Efectivo,85.0,"","",""
20260303153624,6152 - Maxilo Dental,2026-03-03,Factura 087958211825-506526,Efectivo,85.0,"","",""
20260303153459,803 - Regenerando Sonrisas,2026-03-03,Factura 087958211825-506514,Efectivo,40.5,"","",""
20260303104524,800 - Zenzao Smile Studio,2026-03-03,"",Transferencia Bancaria,540.0,"","",""
20260303104339,2112 - Clinica Dental Tijuana,2026-03-03,"",Transferencia Bancaria,588.6,"","",""
20260228142923,6153 - Clinica Dental Paleo,2026-02-28,Factura 087958211825-506535,Efectivo,320.0,"","",""
20260226164827,800 - Zenzao Smile Studio,2026-02-26,Factura 087958211825-506519,Transferencia Bancaria,145.8,"","",""
20260226164753,3297 - Horizon Dental Group,2026-02-26,"",Efectivo,100.0,"","",""
20260226164221,4505 - Clinica Dental Integral,2026-02-26,Factura 087958211825-506529,Efectivo,75.0,"","",""
20260226164208,6901 - Dental Studio,2026-02-26,Factura 087958211825-506528,Efectivo,300.0,"","",""
20260226164158,6901 - Dental Studio,2026-02-26,Factura 087958211825-506527,Efectivo,160.0,"","",""
20260226164150,6901 - Dental Studio,2026-02-26,Factura 087958211825-506521,Efectivo,75.0,"","",""
20260225120309,1882 - Superdental,2026-02-25,"",Transferencia Bancaria,475.0,"","",""
20260225092932,4505 - Clinica Dental Integral,2026-02-25,Factura 087958211825-506515,Efectivo,225.0,"","",""
20260225092527,2795 - Clinica Dental Coronel,2026-02-25,"",Transferencia Bancaria,255.0,"","",""
20260223130937,6153 - Clinica Dental Paleo,2026-02-23,Factura 087958211825-506486,Efectivo,70.0,"","",""
20260223130919,6153 - Clinica Dental Paleo,2026-02-23,Factura 087958211825-506505,Efectivo,380.0,"","",""
20260220160318,7399 - Dental Angel Smile,2026-02-20,Factura 087958211825-506516,Efectivo,85.0,"","",""
20260214092033,6152 - Maxilo Dental,2026-02-14,Factura 087958211825-506507,Efectivo,85.0,"","",""
20260214092024,6152 - Maxilo Dental,2026-02-14,Factura 087958211825-506502,Efectivo,85.0,"","",""
20260214091934,6901 - Dental Studio,2026-02-14,"",Efectivo,245.0,"","",""
20260214091906,7399 - Dental Angel Smile,2026-02-14,Factura 087958211825-506493,Efectivo,85.0,"","",""
20260214091815,4505 - Clinica Dental Integral,2026-02-14,"",Efectivo,535.0,"","",""
20260214091623,2795 - Clinica Dental Coronel,2026-02-14,Factura 087958211825-506489,Transferencia Bancaria,85.0,"","",""
20260210140208,2112 - Clinica Dental Tijuana,2026-02-10,"",Transferencia Bancaria,329.4,"","",""
20260210140038,2795 - Clinica Dental Coronel,2026-02-10,Factura 087958211825-506475,Transferencia Bancaria,90.0,"","",""
20260207114659,2543 - Real Dental Tijuana,2026-02-07,Factura 087958211825-506479,Efectivo,75.0,"","",""
20260207114650,2543 - Real Dental Tijuana,2026-02-07,Factura 087958211825-506478,Efectivo,75.0,"","",""
20260207114642,2543 - Real Dental Tijuana,2026-02-07,Factura 087958211825-506473,Efectivo,90.0,"","",""
20260207112849,6153 - Clinica Dental Paleo,2026-02-07,Factura 087958211825-506505,Efectivo,300.0,"","",""
20260207112835,6153 - Clinica Dental Paleo,2026-02-07,Factura 087958211825-506501,Efectivo,40.0,"","",""
20260207110030,6153 - Clinica Dental Paleo,2026-02-07,Factura 087958211825-506505,Efectivo,300.0,"","",""
20260206091439,4505 - Clinica Dental Integral,2026-02-06,Factura 087958211825-506492,Efectivo,75.0,"","",""
20260206091432,4505 - Clinica Dental Integral,2026-02-06,Factura 087958211825-506491,Efectivo,225.0,"","",""
20260206091424,4505 - Clinica Dental Integral,2026-02-06,Factura 087958211825-506490,Efectivo,225.0,"","",""
20260204143429,6153 - Clinica Dental Paleo,2026-02-04,Factura 087958211825-506485,Efectivo,50.0,"","",""
20260204143420,6153 - Clinica Dental Paleo,2026-02-04,Factura 087958211825-506484,Efectivo,280.0,"","",""
20260204143412,6153 - Clinica Dental Paleo,2026-02-04,Factura 087958211825-506483,Efectivo,70.0,"","",""
20260204143355,6153 - Clinica Dental Paleo,2026-02-04,Factura 087958211825-506499,Efectivo,70.0,"","",""
20260204091738,4505 - Clinica Dental Integral,2026-02-04,Factura 087958211825-506458,Efectivo,80.0,"","",""
20260131122346,803 - Regenerando Sonrisas,2026-01-31,Factura 087958211825-506487,Transferencia Bancaria,81.0,"","",""
20260131122146,2795 - Clinica Dental Coronel,2026-01-31,Factura 087958211825-506477,Efectivo,1020.0,"","",""
20260130133912,2112 - Clinica Dental Tijuana,2026-01-30,"",Transferencia Bancaria,577.8,"","",""
20260127171915,2795 - Clinica Dental Coronel,2026-01-27,Factura 087958211825-506468,Efectivo,85.0,"","",""
20260127171907,2795 - Clinica Dental Coronel,2026-01-27,Factura 087958211825-506467,Efectivo,180.0,"","",""
20260127171859,2795 - Clinica Dental Coronel,2026-01-27,Factura 087958211825-506466,Efectivo,85.0,"","",""
20260127171851,2795 - Clinica Dental Coronel,2026-01-27,Factura 087958211825-506465,Efectivo,75.0,"","",""
20260123203247,6153 - Clinica Dental Paleo,2026-01-23,Factura 087958211825-506460,Efectivo,50.0,"","",""
20260119172829,2795 - Clinica Dental Coronel,2026-01-19,Factura 087958211825-506455,Efectivo,180.0,"","",""
20260119110959,4505 - Clinica Dental Integral,2026-01-19,Factura 087958211825-506456,Efectivo,225.0,"","",""
20260119110942,6901 - Dental Studio,2026-01-19,Factura 087958211825-506454,Efectivo,75.0,"","",""
20260119110926,6901 - Dental Studio,2026-01-19,Factura 087958211825-506453,Efectivo,75.0,"","",""
20260119110843,1882 - Superdental,2026-01-19,Factura 087958211825-506469,Efectivo,75.0,"","",""
20260119110531,1882 - Superdental,2026-01-19,Factura 087958211825-506462,Efectivo,50.0,"","",""
20260115135852,2112 - Clinica Dental Tijuana,2026-01-15,Factura 087958211825-506461,Transferencia Bancaria,162.0,"","",""
20260115135842,2112 - Clinica Dental Tijuana,2026-01-15,Factura 087958211825-506457,Transferencia Bancaria,243.0,"","",""
20260115135035,2543 - Real Dental Tijuana,2026-01-15,Factura 087958211825-506451,Efectivo,75.0,"","",""
20260115091851,6152 - Maxilo Dental,2026-01-15,Factura 087958211825-506434,Efectivo,85.0,"","",""
20260115091749,2795 - Clinica Dental Coronel,2026-01-15,Factura 087958211825-506448,Transferencia Bancaria,900.0,"","",""
20260114125729,6153 - Clinica Dental Paleo,2026-01-14,"",Efectivo,160.0,"","",""
20260110120618,4505 - Clinica Dental Integral,2026-01-10,"",Efectivo,530.0,"","",""
20260108161015,3297 - Horizon Dental Group,2026-01-08,"",Efectivo,50.0,"","",""
20260107131237,2543 - Real Dental Tijuana,2026-01-07,Factura 087958211825-506437,Efectivo,170.0,"","",""
20260106125617,800 - Zenzao Smile Studio,2026-01-06,Factura 087958211825-506441,Transferencia Bancaria,75.0,"","",""
20260106125606,800 - Zenzao Smile Studio,2026-01-06,Factura 087958211825-506427,Transferencia Bancaria,85.0,"","",""
20260105091707,2112 - Clinica Dental Tijuana,2026-01-05,Factura 087958211825-506449,Transferencia Bancaria,345.6,"","",""
20260105091657,2112 - Clinica Dental Tijuana,2026-01-05,Factura 087958211825-506447,Transferencia Bancaria,81.0,"","",""
20260105091647,2112 - Clinica Dental Tijuana,2026-01-05,Factura 087958211825-506446,Transferencia Bancaria,324.0,"","",""
20260105091630,3297 - Horizon Dental Group,2026-01-05,Factura 087958211825-506445,Efectivo,560.0,"","",""
20260102123049,2795 - Clinica Dental Coronel,2026-01-02,Factura 087958211825-506436,Transferencia Bancaria,45.0,"","",""
20260102123038,2795 - Clinica Dental Coronel,2026-01-02,Factura 087958211825-506415,Transferencia Bancaria,85.0,"","",""
20251227131321,6153 - Clinica Dental Paleo,2025-12-27,Factura 087958211825-506444,Efectivo,70.0,"","",""
20251226144149,2112 - Clinica Dental Tijuana,2025-12-26,"",Transferencia Bancaria,2025.0,"","",""
20251226125610,1882 - Superdental,2025-12-26,Factura 087958211825-506439,Efectivo,225.0,"","",""
20251226125601,1882 - Superdental,2025-12-26,Factura 087958211825-506406,Efectivo,85.0,"","",""
20251226125555,1882 - Superdental,2025-12-26,Factura 087958211825-153998,Efectivo,20.0,"","",""
20251226125525,8832 - Orion Dental,2025-12-26,Factura 087958211825-506438,Efectivo,155.0,"","",""
20251226095831,6152 - Maxilo Dental,2025-12-26,Factura 087958211825-506429,Transferencia Bancaria,486.0,"","",""
20251222090713,2543 - Real Dental Tijuana,2025-12-22,Factura 087958211825-506417,Efectivo,150.0,"","",""
20251222090706,2543 - Real Dental Tijuana,2025-12-22,Factura 087958211825-506416,Efectivo,75.0,"","",""
20251222090656,2543 - Real Dental Tijuana,2025-12-22,Factura 087958211825-506411,Efectivo,150.0,"","",""
20251219171116,2112 - Clinica Dental Tijuana,2025-12-19,"",Transferencia Bancaria,1549.8,"","",""
20251219171020,6901 - Dental Studio,2025-12-19,Factura 087958211825-506432,Efectivo,225.0,"","",""
20251219171012,6901 - Dental Studio,2025-12-19,Factura 087958211825-506431,Efectivo,75.0,"","",""
20251219171006,6901 - Dental Studio,2025-12-19,Factura 087958211825-506430,Efectivo,75.0,"","",""
20251219170958,6901 - Dental Studio,2025-12-19,Factura 087958211825-506418,Efectivo,75.0,"","",""
20251218152005,6153 - Clinica Dental Paleo,2025-12-18,Factura 087958211825-506426,Efectivo,280.0,"","",""
20251218151950,2795 - Clinica Dental Coronel,2025-12-18,Factura 087958211825-506405,Transferencia Bancaria,900.0,"","",""
20251215212434,3297 - Horizon Dental Group,2025-12-15,"",Efectivo,120.0,"","",""
20251213145050,6152 - Maxilo Dental,2025-12-13,Factura 087958211825-506412,Efectivo,160.0,"","",""
20251213145043,6152 - Maxilo Dental,2025-12-13,Factura 087958211825-506407,Efectivo,75.0,"","",""
20251213144946,2795 - Clinica Dental Coronel,2025-12-13,"",Efectivo,200.0,"","",""
20251211214446,6153 - Clinica Dental Paleo,2025-12-11,Factura 087958211825-153992,Efectivo,80.0,"","",""
20251211181552,2112 - Clinica Dental Tijuana,2025-12-11,"",Transferencia Bancaria,923.4,"","",""
20251211181417,7399 - Dental Angel Smile,2025-12-11,Factura 087958211825-506404,Efectivo,510.0,"","",""
20251211181409,7399 - Dental Angel Smile,2025-12-11,Factura 087958211825-153987,Efectivo,400.0,"","",""
20251209185122,2795 - Clinica Dental Coronel,2025-12-09,"",Efectivo,300.0,"","",""
20251208190750,6152 - Maxilo Dental,2025-12-08,Factura 087958211825-153989,Transferencia Bancaria,604.8,"","",""
20251208151712,7399 - Dental Angel Smile,2025-12-08,Factura 087958211825-154000,Efectivo,85.0,"","",""
20251208151525,800 - Zenzao Smile Studio,2025-12-08,Factura 087958211825-153990,Efectivo,85.0,"","",""
20251208151442,2112 - Clinica Dental Tijuana,2025-12-08,"",Transferencia Bancaria,496.8,"","",""
20251208151127,6152 - Maxilo Dental,2025-12-08,Factura 888162,Efectivo,175.0,"","",""
20251203122011,1931 - Hola Dental,2025-12-03,Factura 087958211825-153949,Efectivo,85.0,"","",""
20251203121928,1931 - Hola Dental,2025-12-03,Factura 087958211825-153948,Efectivo,85.0,"","",""
20251203121920,1931 - Hola Dental,2025-12-03,Factura 087958211825-153936,Efectivo,90.0,"","",""
20251202095738,8832 - Orion Dental,2025-12-02,Factura 087958211825-153997,Transferencia Bancaria,162.0,"","",""
20251128112500,2543 - Real Dental Tijuana,2025-11-28,Factura 087958211825-153972,Efectivo,85.0,"","",""
20251128112452,2543 - Real Dental Tijuana,2025-11-28,Factura 087958211825-153971,Efectivo,180.0,"","",""
20251126124333,2112 - Clinica Dental Tijuana,2025-11-26,"",Cheque,324.0,"","",""
20251126124240,3297 - Horizon Dental Group,2025-11-26,"",Efectivo,300.0,"","",""
20251126124205,4505 - Clinica Dental Integral,2025-11-26,"",Transferencia Bancaria,187.4,"","",""
20251126123830,4505 - Clinica Dental Integral,2025-11-26,Factura 087958211825-153983,Transferencia Bancaria,81.0,"","",""
20251126123821,4505 - Clinica Dental Integral,2025-11-26,Factura 087958211825-153982,Transferencia Bancaria,102.6,"","",""
20251124110223,2112 - Clinica Dental Tijuana,2025-11-24,Factura 087958211825-153856,Efectivo,10.8,"","",""
20251124110157,2112 - Clinica Dental Tijuana,2025-11-24,Factura 087958211825-153850,Efectivo,40.5,"","",""
