Número factura,Cliente,Código,Fecha,Vencimiento,Nombre,RFC,Calle,Colonia,Localidad,Estado,CP,País,Centro,Importe,Retención,Descuento,Base imponible,Importe IVA,Importe retención,Total,Cobrado,Forma de pago
087958211825-506532,Real Dental Tijuana,2543,25/02/2026,06/03/2026,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
R-00043,Superdental,1882,25/02/2026,06/03/2026,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,220.0,0.0,0.0,220.0,0.0,-0.0,220.0,220.0,
087958211825-506531,Clinica Dental Tijuana,2112,24/02/2026,06/03/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,95.0,0.0,0.0,95.0,7.6,-0.0,102.6,102.6,
087958211825-506530,Clinica Dental Tijuana,2112,23/02/2026,06/03/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
087958211825-506529,Clinica Dental Integral,4505,23/02/2026,06/03/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506528,Dental Studio,6901,23/02/2026,06/03/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,300.0,0.0,0.0,300.0,0.0,-0.0,300.0,300.0,
087958211825-506527,Dental Studio,6901,23/02/2026,06/03/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,160.0,0.0,0.0,160.0,0.0,-0.0,160.0,160.0,
087958211825-506526,Maxilo Dental,6152,23/02/2026,06/03/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506525,Clinica Dental Tijuana,2112,23/02/2026,06/03/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,6.8,-0.0,91.8,91.8,
087958211825-506524,Clinica Dental Tijuana,2112,23/02/2026,06/03/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-506521,Dental Studio,6901,20/02/2026,27/02/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
R-00041,GDIA,9999,20/02/2026,"",GDIA,-,Diaz Miron 7585,Zona Centro,Tijuana,Baja California,22000,México,-,50.0,0.0,0.0,50.0,0.0,-0.0,50.0,0.0,
087958211825-506520,Clinica Dental Tijuana,2112,19/02/2026,27/02/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,215.0,0.0,0.0,215.0,17.2,-0.0,232.2,232.2,
