Número factura,Cliente,Código,Fecha,Vencimiento,Nombre,RFC,Calle,Colonia,Localidad,Estado,CP,País,Centro,Importe,Retención,Descuento,Base imponible,Importe IVA,Importe retención,Total,Cobrado,Forma de pago
087958211825-506445,Horizon Dental Group,3297,27/12/2025,02/01/2026,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,560.0,0.0,0.0,560.0,0.0,-0.0,560.0,560.0,
087958211825-506444,Clinica Dental Paleo,6153,27/12/2025,02/01/2026,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,70.0,0.0,0.0,70.0,0.0,-0.0,70.0,70.0,
087958211825-506443,Clinica Dental Tijuana,2112,23/12/2025,03/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,450.0,0.0,0.0,450.0,36.0,-0.0,486.0,486.0,
087958211825-506442,Clinica Dental Tijuana,2112,23/12/2025,02/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
087958211825-506441,Zenzao Smile Studio,800,23/12/2025,02/01/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506440,Clinica Dental Tijuana,2112,22/12/2025,03/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,375.0,0.0,0.0,375.0,30.0,-0.0,405.0,405.0,
087958211825-506439,Superdental,1882,22/12/2025,03/01/2026,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,225.0,0.0,0.0,225.0,0.0,-0.0,225.0,225.0,
087958211825-506438,Orion Dental,8832,20/12/2025,26/12/2025,Orion Dental,-,Calle Emiliano Zapata 7727-int 5,Zona Centro,Tijuana,Baja California,22000,México,-,155.0,0.0,0.0,155.0,0.0,-0.0,155.0,155.0,
087958211825-506437,Real Dental Tijuana,2543,20/12/2025,26/12/2025,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,170.0,0.0,0.0,170.0,0.0,-0.0,170.0,170.0,
087958211825-506436,Dr. Bojorquez,2795,20/12/2025,26/12/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506435,Clinica Dental Integral,4505,20/12/2025,26/12/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,80.0,0.0,0.0,80.0,0.0,-0.0,80.0,80.0,
087958211825-506434,Maxilo Dental,6152,20/12/2025,26/12/2025,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506433,Clinica Dental Tijuana,2112,18/12/2025,26/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,900.0,0.0,0.0,900.0,72.0,-0.0,972.0,972.0,
087958211825-506432,Dental Studio,6901,17/12/2025,26/12/2025,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,225.0,0.0,0.0,225.0,0.0,-0.0,225.0,225.0,
087958211825-506431,Dental Studio,6901,17/12/2025,26/12/2025,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506430,Dental Studio,6901,17/12/2025,26/12/2025,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506429,Maxilo Dental,6152,16/12/2025,26/12/2025,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,450.0,0.0,0.0,450.0,36.0,-0.0,486.0,486.0,
087958211825-506428,Clinica Dental Integral,4505,16/12/2025,26/12/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,225.0,0.0,0.0,225.0,0.0,-0.0,225.0,225.0,
087958211825-506427,Zenzao Smile Studio,800,16/12/2025,26/12/2025,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506426,Clinica Dental Paleo,6153,16/12/2025,26/12/2025,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,280.0,0.0,0.0,280.0,0.0,-0.0,280.0,280.0,
087958211825-506425,Clinica Dental Integral,4505,15/12/2025,26/12/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,150.0,0.0,0.0,150.0,0.0,-0.0,150.0,150.0,
087958211825-506424,Clinica Dental Tijuana,2112,13/12/2025,19/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,225.0,0.0,0.0,225.0,18.0,-0.0,243.0,243.0,
087958211825-506423,Clinica Dental Tijuana,2112,13/12/2025,19/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-506422,Clinica Dental Tijuana,2112,13/12/2025,19/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
087958211825-506421,Clinica Dental Tijuana,2112,13/12/2025,19/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,80.0,0.0,0.0,80.0,6.4,-0.0,86.4,86.4,
087958211825-506420,Clinica Dental Tijuana,2112,13/12/2025,19/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-506419,Clinica Dental Tijuana,2112,13/12/2025,19/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,80.0,0.0,0.0,80.0,6.4,-0.0,86.4,86.4,
087958211825-506418,Dental Studio,6901,13/12/2025,19/12/2025,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506417,Real Dental Tijuana,2543,12/12/2025,19/12/2025,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,150.0,0.0,0.0,150.0,0.0,-0.0,150.0,150.0,
087958211825-506416,Real Dental Tijuana,2543,12/12/2025,19/12/2025,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506415,Dr. Bojorquez,2795,12/12/2025,19/12/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506414,Clinica Dental Tijuana,2112,12/12/2025,19/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,450.0,0.0,0.0,450.0,36.0,-0.0,486.0,486.0,
087958211825-506413,Clinica Dental Tijuana,2112,12/12/2025,19/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,300.0,0.0,0.0,300.0,24.0,-0.0,324.0,324.0,
087958211825-506412,Maxilo Dental,6152,11/12/2025,19/12/2025,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,160.0,0.0,0.0,160.0,0.0,-0.0,160.0,160.0,
087958211825-506411,Real Dental Tijuana,2543,10/12/2025,19/12/2025,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,150.0,0.0,0.0,150.0,0.0,-0.0,150.0,150.0,
087958211825-506410,Clinica Dental Tijuana,2112,09/12/2025,19/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,630.0,0.0,0.0,630.0,50.4,-0.0,680.4,680.4,
087958211825-506409,Horizon Dental Group,3297,09/12/2025,19/12/2025,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506408,Horizon Dental Group,3297,09/12/2025,19/12/2025,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506407,Maxilo Dental,6152,09/12/2025,19/12/2025,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506406,Superdental,1882,09/12/2025,19/12/2025,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506405,Dr. Bojorquez,2795,09/12/2025,19/12/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,900.0,0.0,0.0,900.0,0.0,-0.0,900.0,900.0,
087958211825-506404,Dental Angel Smile,7399,09/12/2025,19/12/2025,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,510.0,0.0,0.0,510.0,0.0,-0.0,510.0,510.0,
087958211825-506403,Clinica Dental Tijuana,2112,08/12/2025,"",Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
087958211825-506402,Dr. Bojorquez,2795,06/12/2025,12/12/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,90.0,0.0,0.0,90.0,0.0,-0.0,90.0,90.0,
087958211825-506401,Dr. Bojorquez,2795,06/12/2025,12/12/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,90.0,0.0,0.0,90.0,0.0,-0.0,90.0,90.0,
087958211825-154000,Dental Angel Smile,7399,04/12/2025,12/12/2025,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153999,Clinica Dental Tijuana,2112,04/12/2025,12/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153998,Superdental,1882,03/12/2025,12/12/2025,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,20.0,0.0,0.0,20.0,0.0,-0.0,20.0,20.0,
888162,Maxilo Dental,6152,01/12/2025,05/12/2025,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,175.0,0.0,0.0,175.0,0.0,-0.0,175.0,175.0,
087958211825-153997,Orion Dental,8832,01/12/2025,12/12/2025,Orion Dental,-,Calle Emiliano Zapata 7727-int 5,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
087958211825-153996,Clinica Dental Tijuana,2112,01/12/2025,12/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,80.0,0.0,0.0,80.0,6.4,-0.0,86.4,86.4,
087958211825-153995,Clinica Dental Tijuana,2112,01/12/2025,12/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,80.0,0.0,0.0,80.0,6.4,-0.0,86.4,86.4,
087958211825-153994,Dr. Bojorquez,2795,29/11/2025,05/12/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,170.0,0.0,0.0,170.0,0.0,-0.0,170.0,170.0,
087958211825-153993,Dr. Bojorquez,2795,29/11/2025,06/12/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,120.0,0.0,0.0,120.0,0.0,-0.0,120.0,120.0,
087958211825-153992,Clinica Dental Paleo,6153,29/11/2025,05/12/2025,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,80.0,0.0,0.0,80.0,0.0,-0.0,80.0,80.0,
087958211825-153991,Clinica Dental Tijuana,2112,29/11/2025,05/12/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153990,Zenzao Smile Studio,800,27/11/2025,06/12/2025,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153989,Maxilo Dental,6152,26/11/2025,05/12/2025,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,560.0,0.0,0.0,560.0,44.8,-0.0,604.8,604.8,
087958211825-153988,Horizon Dental Group,3297,25/11/2025,"",Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,250.0,0.0,0.0,250.0,0.0,-0.0,250.0,250.0,
087958211825-153987,Dental Angel Smile,7399,25/11/2025,05/12/2025,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,400.0,0.0,0.0,400.0,0.0,-0.0,400.0,400.0,
087958211825-153979,Clinica Dental Integral,4505,24/11/2025,21/11/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153986,Clinica Dental Tijuana,2112,20/11/2025,28/11/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153985,Clinica Dental Tijuana,2112,20/11/2025,28/11/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153984,Clinica Dental Tijuana,2112,20/11/2025,28/11/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153983,Clinica Dental Integral,4505,20/11/2025,28/11/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153982,Clinica Dental Integral,4505,20/11/2025,28/11/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,95.0,0.0,0.0,95.0,7.6,-0.0,102.6,102.6,
888161,Horizon Dental Group,3297,15/11/2025,21/11/2025,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,255.0,0.0,0.0,255.0,0.0,-0.0,255.0,255.0,
087958211825-153981,Clinica Dental Integral,4505,14/11/2025,21/11/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,30.0,0.0,0.0,30.0,2.4,-0.0,32.4,32.4,
087958211825-153980,Clinica Dental Integral,4505,14/11/2025,21/11/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153978,Clinica Dental Tijuana,2112,12/11/2025,22/11/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153975,Clinica Dental Integral,4505,12/11/2025,21/11/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
087958211825-153977,Superdental,1882,11/11/2025,21/11/2025,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153976,Maxilo Dental,6152,11/11/2025,21/11/2025,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,90.0,0.0,0.0,90.0,0.0,-0.0,90.0,90.0,
087958211825-153974,Dr. Bojorquez,2795,10/11/2025,"",Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153973,Clinica Dental Tijuana,2112,08/11/2025,14/11/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153972,Real Dental Tijuana,2543,08/11/2025,14/11/2025,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153971,Real Dental Tijuana,2543,08/11/2025,14/11/2025,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,180.0,0.0,0.0,180.0,0.0,-0.0,180.0,180.0,
087958211825-153970,Dental Angel Smile,7399,07/11/2025,14/11/2025,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153969,Horizon Dental Group,3297,07/11/2025,14/11/2025,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153968,Dr. Bojorquez,2795,07/11/2025,14/11/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,260.0,0.0,0.0,260.0,0.0,-0.0,260.0,260.0,
087958211825-153967,Dental Angel Smile,7399,06/11/2025,14/11/2025,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,510.0,0.0,0.0,510.0,0.0,-0.0,510.0,510.0,
087958211825-153966,Dental Bellas Artes,4482,06/11/2025,14/11/2025,Dental Bellas Artes,-,Blvd. de las Bellas Artes 341,Nueva Tijuana,Tijuana,Baja California,22435,México,-,160.0,0.0,0.0,160.0,0.0,-0.0,160.0,160.0,
087958211825-153965,Clinica Dental Tijuana,2112,06/11/2025,14/11/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153964,Clinica Dental Tijuana,2112,06/11/2025,14/11/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153963,Clinica Dental Integral,4505,06/11/2025,14/11/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,95.0,0.0,0.0,95.0,6.0,-0.0,101.0,101.0,
087958211825-153962,Zenzao Smile Studio,800,06/11/2025,"",Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-153960,Dr. Sergio Duarte,1979,06/11/2025,"",Dr. Sergio Duarte,-,Pastor Ramos 350,Empleados Federales,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,0.0,
087958211825-153953,Dental Studio,6901,06/11/2025,06/11/2025,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,0.0,-0.0,150.0,150.0,
087958211825-153961,Dental Angel Smile,7399,04/11/2025,14/11/2025,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153958,Dr. Sergio Duarte,1979,04/11/2025,"",Dr. Sergio Duarte,-,Pastor Ramos 350,Empleados Federales,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,0.0,
888160,N/D (factura simplificada),,03/11/2025,"",,,,,,,,,"",140.0,0.0,0.0,140.0,11.2,-0.0,151.2,151.2,
087958211825-153957,Dental Angel Smile,7399,03/11/2025,07/11/2025,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153955,Orion Dental,8832,03/11/2025,07/11/2025,Orion Dental,-,Calle Emiliano Zapata 7727-int 5,Zona Centro,Tijuana,Baja California,22000,México,-,225.0,0.0,0.0,225.0,0.0,-0.0,225.0,225.0,
087958211825-153956,Clinica Dental Tijuana,2112,01/11/2025,07/11/2025,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-153954,Dr. Bojorquez,2795,31/10/2025,07/11/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,1190.0,0.0,0.0,1190.0,0.0,-0.0,1190.0,1190.0,
888159,MEDICA,2565,30/10/2025,"",MEDICA,-,P.º Ensenada 502,Playas de Tijuana Sección Jardines,Tijuana,Baja California,22500,México,-,210.0,0.0,0.0,210.0,0.0,-0.0,210.0,0.0,
087958211825-153952,Dr. Sergio Duarte,1979,30/10/2025,"",Dr. Sergio Duarte,-,Pastor Ramos 350,Empleados Federales,Tijuana,Baja California,22010,México,-,340.0,0.0,0.0,340.0,0.0,-0.0,340.0,0.0,
087958211825-153950,Zenzao Smile Studio,800,30/10/2025,07/11/2025,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,235.0,0.0,0.0,235.0,0.0,-0.0,235.0,235.0,
087958211825-153949,Hola Dental,1931,30/10/2025,07/11/2025,Hola Dental,-,Blvd. Cucapah 21808-interior A,Lomas del Matamoros,Tijuana,Baja California,22206,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153948,Hola Dental,1931,29/10/2025,07/11/2025,Hola Dental,-,Blvd. Cucapah 21808-interior A,Lomas del Matamoros,Tijuana,Baja California,22206,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153947,Horizon Dental Group,3297,28/10/2025,07/11/2025,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,285.0,0.0,0.0,285.0,0.0,-0.0,285.0,285.0,
888158,Maxilo Dental,6152,27/10/2025,"",Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,
087958211825-153946,Dr. Sergio Duarte,1979,27/10/2025,"",Dr. Sergio Duarte,-,Pastor Ramos 350,Empleados Federales,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,0.0,
087958211825-153945,Clinica Dental Integral,4505,25/10/2025,31/10/2025,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,37.5,0.0,0.0,37.5,3.0,-0.0,40.5,40.5,
087958211825-153944,Superdental,1882,25/10/2025,31/10/2025,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,20.0,0.0,0.0,20.0,0.0,-0.0,20.0,20.0,
087958211825-153943,Superdental,1882,25/10/2025,31/10/2025,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,20.0,0.0,0.0,20.0,0.0,-0.0,20.0,20.0,
087958211825-153942,Dr. Bojorquez,2795,24/10/2025,31/10/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-153941,Dr. Bojorquez,2795,24/10/2025,31/10/2025,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
